#Type,ID,Length,Width
Board,A,2100,193
Board,B,2100,150
Board,C,2100,143
Board,D,2100,170
Board,E,2100,185
Board,F,2100,210
Board,G,2100,135
Board,H,2100,225
Part,001, 1721.7, 100.0
Part,002, 284.5, 100.0
Part,003, 1721.7, 100.0
Part,004, 284.5, 100.0
Part,005, 955.0, 69.3
Part,006, 955.0, 60.0
Part,007, 955.0, 69.6
Part,008, 955.0, 80.0
Part,009, 955.0, 60.0
Part,010, 955.0, 60.0
Part,011, 310.0, 100.0
Part,012, 310.0, 100.0
Part,013, 310.0, 36.0
Part,014, 310.0, 36.0
Part,015, 354.5, 36.0
Part,016, 354.5, 36.0
Part,017, 299.0, 20.0
Part,018, 299.0, 20.0
Part,019, 299.0, 20.0
Part,020, 299.0, 20.0
Part,021, 327.5, 20.0
Part,022, 327.5, 20.0
Part,023, 955.0, 80.0
Part,024, 310.0, 100.0
Part,025, 310.0, 100.0
Part,026, 310.0, 36.0
Part,027, 310.0, 36.0
Part,028, 354.5, 36.0
Part,029, 354.5, 36.0
Part,030, 299.0, 20.0
Part,031, 327.5, 20.0
Part,032, 327.5, 20.0
Part,033, 955.0, 80.0
Part,034, 310.0, 100.0
Part,035, 310.0, 100.0
Part,036, 310.0, 36.0
Part,037, 310.0, 36.0
Part,038, 354.5, 36.0
Part,039, 354.5, 36.0
Part,040, 299.0, 20.0
Part,041, 327.5, 20.0
Part,042, 327.5, 20.0
Part,043, 955.0, 80.0
Part,044, 310.0, 100.0
Part,045, 310.0, 100.0
Part,046, 310.0, 36.0
Part,047, 310.0, 36.0
Part,048, 354.5, 36.0
Part,049, 354.5, 36.0
Part,050, 299.0, 20.0
